D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w
2444.290851469369,2444.698085274542,2447.807834396026,2453.63882000424,2460.5478386449336,2467.350264210393,2473.5377135784256,2478.9905303543737,2483.749091551985,2487.8997736989086
2431.071718870506,2431.489493170897,2434.6261318175416,2440.4738871975,2447.3812724082804,2454.1684411907963,2460.333553332564,2465.7614600159054,2470.494948643709,2474.6214804049337
2417.9160149905388,2418.344231690787,2421.507314654514,2427.3712082647608,2434.2763845948625,2441.047878270238,2447.1903886713244,2452.59323587198,2457.301579362072,2461.4039372886064
2404.8238148988094,2405.262376705788,2408.451463586214,2414.3308732784585,2421.233276880434,2427.988688477072,2434.1083424424705,2439.4859887648126,2444.169120912592,2448.247286617417
2391.7951817574344,2392.24399216824,2395.4586473093163,2401.3529601937657,2408.2520386277693,2414.990972300641,2421.0875247280364,2426.4398365615907,2431.09769734099,2435.1516573391655
2378.830167197152,2379.2891304873765,2382.528922915287,2388.4375352283723,2395.3327472699707,2402.0548180789947,2408.128033236936,2413.4548845520244,2418.087419935457,2422.1171654885634
2365.928811682377,2366.397832894644,2369.6623362569376,2375.584653231389,2382.4754686828314,2389.180302375589,2395.229953686438,2400.531225834651,2405.138387617553,2409.143914582365
2353.0911448657675,2353.570129798536,2356.8589223044733,2362.7943580416963,2369.680257546572,2376.3674903452616,2382.393360172824,2387.6689416922127,2392.250687322075,2396.231996003348
2340.317185932616,2340.806041129246,2344.118705491323,2350.066682836022,2356.947157697246,2363.616436089795,2369.618315531532,2374.8681019564137,2379.424394366192,2383.3814893734566
2327.6069439353414,2328.105576673412,2331.44170005005,2337.4016504670644,2344.2762024681188,2350.927183003369,2356.904871687091,2362.1287653623585,2366.659572808152,2370.5924629164183
2314.9604181183813,2315.4687363992616,2318.8279103386253,2324.799273791924,2331.667415021293,2338.299764108181,2344.253069993128,2349.450979892961,2353.956275795855,2357.864973810119
2302.377598233748,2302.895510772414,2306.277331157344,2312.259555991136,2319.120808669874,2325.734202380515,2331.6629415627303,2336.8347831136134,2341.314545905588,2345.1990685290393
2289.8584648475253,2290.3858810626166,2293.7899480566475,2299.782490878565,2306.636387190927,2313.23051106754,2319.134507589444,2324.280202497381,2328.7344154711777,2332.594783177021
2277.4029896375623,2277.939819641676,2281.3657376361148,2287.3680632024257,2294.214145129511,2300.788693995088,2306.667779659164,2311.787255741004,2316.2159069038603,2320.0521438106425
2265.01113568262,2265.5572902728345,2269.0046678348785,2275.0162489376844,2281.854068094025,2288.4087458666872,2294.2627600531864,2299.355951071951,2303.7590330031053,2307.5711667534697
2252.682857743211,2253.2382483918386,2256.706698213711,2262.7270155700908,2269.556133043125,2276.0906525540768,2281.919442042661,2286.9862875468016,2291.363797258666,2295.151858901434
2240.418102534384,2240.98264137994,2244.471780229017,2250.500322372073,2257.320308564453,2263.8343913794665,2269.637810174702,2274.678255341174,2279.0301941441,2282.7942180195955
2228.216808990662,2228.7904088290616,2232.299857498969,2238.3361206707364,2245.1465551454085,2251.639931389768,2257.417840550383,2262.431836031464,2266.7582094019963,2270.498233030531
2216.0789085233937,2216.6614827993485,2220.1908660620074,2226.234354108192,2233.034825436192,2239.5072336230223,2245.259501094857,2250.2470028686103,2254.547820321156,2258.2638842945844
2204.0043252707005,2204.595788069332,2208.1447346279338,2214.1949588944267,2220.9850645053416,2227.436251367263,2233.162751819817,2238.12372104413,2242.3989960059416,2246.0911438822122
2191.992976340259,2192.593242378911,2196.161384821796,2202.2178640529414,2208.997210087982,2215.426930412006,2221.127545078522,2226.06194794862,2230.311697638026,2233.9799758386453
2180.04477204511,2180.653756665364,2184.2407314207817,2190.302991659355,2197.0711928269834,2203.479209292602,2209.153825813596,2214.061633422961,2218.2858787307528,2221.930336441085
2168.1596161327066,2168.777235292588,2172.3826825843275,2178.450257073181,2185.2069365072466,2191.5930195276346,2197.2415317978066,2202.1227200024214,2206.3214853763184,2209.9421744486476
